部门,表中文名,表英文名,部门到前置机状态,异常原因说明,前置机到前置仓状态,异常原因说明,前置仓到贴源层状态,异常原因说明,,部门,表中文名,（前置仓）表英文名,部门到前置机对账状态,异常原因说明,前置仓数据量核对（数据表和对账表是否一致）【暂无更新、不具备采集条件、正常、异常、无法匹配】,异常原因说明,前置仓到贴源层调度状态,异常原因说明
水利厅,四川省水利安全生产标准化等级证书信息表,egi_data_aqscbzhdjzs,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,课题约稿类成果作者表,mv_topic_appoint_auth,未推送,,未推送,,未推送,
水利厅,四川省水库移民工作管理平台_工程,info_t_reservoir,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,场所相关负责人员关联表,mv_religious_people,未推送,,正常,,正常,
水利厅,国债山洪沟项目前期申报情况信息,nd_prj_prelim_dcl_info,正常,,异常,前置仓数据量核对,未推送,,,省民族宗教委,宗教场所产权登记信息表,mv_religious_property,未推送,,未推送,,未推送,
水利厅,国债山洪沟项目项目进度情况,nd_prj_prog,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,宗教场所信息表,mv_religious_info,未推送,,未推送,,未推送,
水利厅,安全隐患整改表,safety_hazards_rectification,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,成果库,mv_result,未推送,,未推送,,未推送,
水利厅,实施人口明细表,mxrk,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,课题成员表,mv_topic_member,未推送,,未推送,,未推送,
水利厅,居民户表,ghjmh,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,暂住人口表,mv_moment_staff,未推送,,未推送,,未推送,
水利厅,山洪沟治理项目进度情况,gm_prj_prog_sit,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,宗教场所申请信息,mv_religious_apply,未推送,,未推送,,未推送,
水利厅,工地责任人信息,cons_site_resp_p_info,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,模范个人表,mw_modelperson,未推送,,未推送,,未推送,
水利厅,工程详情,project_detail,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,成果库作者表,mv_result_talent,未推送,,未推送,,未推送,
水利厅,水利二级造价工程师证书,zw_ejslzjgcs_certificate,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,民族成份表,mw_data_change,正常,已经到前置机，未对账,未推送,,未推送,
水利厅,水利水电工程施工企业安管人员安全生产考核合格证书,zw_slry_certificate,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,非法活动人员基本情况,mv_illegal_peop,未推送,,未推送,,未推送,
水利厅,河道采砂许可证,egi_data_csxkz,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,汇报_基地成果表人员表,mv_report_gain_auth,未推送,,未推送,,未推送,
水利厅,法人,legal_person,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,宗教团体信息台账,mv_group,未推送,,未推送,,未推送,
水利厅,涉水项目,WadeProject,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,教职人员信息表,mv_teaching_staff,未推送,,未推送,,未推送,
水利厅,移民,migrant_people,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,模范集体表,mw_modelgroup,未推送,,未推送,,未推送,
水利厅,移民家庭,migrant_family,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,拟建基地成果作者表,mv_unit_gain_people,未推送,,未推送,,未推送,
水利厅,行政处罚基本信息,egi_data_zzfl_xzcfxx,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,人才库,mv_talent,正常,已经到前置机，未对账,未推送,,未推送,
水利厅,行政强制执行信息表,egi_data_xzqzzxxx,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,非法活动事件组织者,mv_illegal_event_org,未推送,,正常,,正常,
水利厅,行政确认信息表,egi_data_xzqrxx,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,档案信息表,mv_archive,未推送,,未推送,,未推送,
水利厅,行政裁决信息表,egi_data_xzcjxx,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,教职人员团体任职表,mv_occupy,未推送,,未推送,,未推送,
水利厅,行政许可信息表,egi_data_zxkxx,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,基地人员表更表,mv_report_person,未推送,,未推送,,未推送,
水利厅,行政许可决定详情表,dse_wia_licensing_decision_deta,正常,已经到前置机，未对账,未推送,,未推送,,,省民族宗教委,场所管会班子表,mv_religious_manager,未推送,,未推送,,未推送,
水利厅,许可管理_取水户信息管理,WR_WIU_B,正常,已经到前置机，未对账,未推送,,未推送,,,省市场监管局,个体变更信息,t307020250423000005,正常,已经到前置机，未对账,正常,,异常,
水利厅,退排水口基础信息表_ATT_0040,AttPdoBase,正常,已经到前置机，未对账,未推送,,未推送,,,省市场监管局,清算组成员信息（非自然人）,t307020250506000008,正常,已经到前置机，未对账,正常,,异常,
水利厅,项目,project,正常,已经到前置机，未对账,未推送,,未推送,,,省市场监管局,小微企业名录基本信息2018,t307020250423000011,正常,已经到前置机，未对账,正常,,正常,
水利厅,项目人员关联表,DL_PROJECT_USER,正常,已经到前置机，未对账,未推送,,未推送,,,省市场监管局,执法人员库,t307020250423000002,正常,已经到前置机，未对账,异常,,未推送,
水利厅,项目公司表,project_company,正常,,正常,,正常,,,省市场监管局,严重违法失信名单（自然人）详细信息,t307020250423000004,正常,已经到前置机，未对账,正常,,正常,
水利厅,项目工程信息表,dse_item_project_info,正常,已经到前置机，未对账,未推送,,未推送,,,省市场监管局,企业名称信息,t307020250423000018,正常,已经到前置机，未对账,异常,,未推送,
水利厅,龙头企业,ltqy,正常,已经到前置机，未对账,未推送,,未推送,,,省市场监管局,个体工商户基本信息,t307020250423000020,正常,已经到前置机，未对账,未推送,,未推送,
消防救援总队,不同意投入使用、营业决定书,xfjd_aqjc_btytrsyjds,正常,,正常,,正常,,,省市场监管局,外商基本信息,t307020250506000006,正常,已经到前置机，未对账,正常,,异常,
消防救援总队,严重失信信息表,xfjd_gg_xfaqyzsxxx,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,吊销信息,t307020250506000010,正常,已经到前置机，未对账,未推送,,未推送,
消防救援总队,个人信用信息归集（信息公开）,xfjd_gg2_grxyxxgj,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,最终实际控制人,t307020250506000001,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,举报投诉信息表,xfjd_gg2_jbts,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,执法人员资格,t307020250423000003,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,产品检查信息表,xfjd_cp_cpjcxx,正常,,正常,,正常,,,省市场监管局,生产许可证_证照信息,t307020250423000013,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,公众聚集场所投入使用、营业前消防安全检查意见书,xfjd_flwsa_aqjcy,正常,,正常,,正常,,,省市场监管局,严重违法失信企业详细信息,t307020250423000007,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,化学危险品信息,cf_hxwxp,正常,已经到前置机，未对账,未推送,,未推送,,,省市场监管局,市场监管_行政许可基本信息_2019,t307020250512000008,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,危化企业信息,zh_tc_whqy,正常,已经到前置机，未对账,未推送,,未推送,,,省市场监管局,市场监管_行政处罚基本信息_2019,t307020250512000010,正常,已经到前置机，未对账,正常,,异常,
消防救援总队,呈请公众聚集场所投入使用、营业审批表,xfjd_aqjc_cqspb,正常,,正常,,正常,,,省市场监管局,小微企业名录变更信息,t307020250423000012、t307020251020000012,未推送,,正常,,正常,
消防救援总队,失信处罚,dishonesty_penalty,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,小微企业名录变更信息,t307020250423000012、t307020251020000012,未推送,,正常,,正常,
消防救援总队,字典表,blade_dict,正常,已经到前置机，未对账,未推送,,未推送,,,省市场监管局,当事人信息,t307020250506000003,正常,已经到前置机，未对账,未推送,,未推送,
消防救援总队,执法人员,xfjd_sys_zfry,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,清算组成员信息（自然人）,t307020250506000002,正常,已经到前置机，未对账,正常,,异常,
消防救援总队,执法单位表,xfjd_sys_zfdw,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,外资补充信息,t307020250506000004,正常,已经到前置机，未对账,正常,,异常,
消防救援总队,技术服务人员信用信息表,xfjd_xyxx_ryxy,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,个体许可信息,t307020250423000019,正常,已经到前置机，未对账,正常,,异常,
消防救援总队,技术服务人员基础信息表,xfjd_xyxx_ryxx,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,外国（地区）企业基本信息,t307020250506000007,正常,已经到前置机，未对账,异常,,未推送,
消防救援总队,技术服务机构信息表,xfjd_xyxx_jgxx,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,市场监管_行政处罚决定书信息_2019,t307020250512000009,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,技术服务机构信用信息表,xfjd_xyxx_jgxy,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,充装许可证_证照信息,t307020250423000021,正常,已经到前置机，未对账,未推送,,未推送,
消防救援总队,撤销公众聚集场所投入使用、营业消防安全许可决定书,xfjd_aqjc_cxaqxkjds,正常,,正常,,正常,,,省市场监管局,生产单位许可证_证照信息,t307020250423000014,正常,已经到前置机，未对账,未推送,,未推送,
消防救援总队,撤销案件决定书,xfjd_flwsx_cxajjds,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,自然人出资信息,t307020250423000001、t307020251027000001,正常,已经到前置机，未对账,正常,,异常,
消防救援总队,数据字典管理表,sys_dict_def,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,自然人出资信息,t307020250423000001、t307020251027000001,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,数据字典细单,sys_dict_dtl,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,报关人员信息,t307020250512000002,正常,已经到前置机，未对账,异常,,未推送,
消防救援总队,注册消防工程师表,xfjd_xfjf_zcxfgcs,正常,已经到前置机，未对账,未推送,,未推送,,,省市场监管局,外商信息变更,t307020250506000005,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,消防产品监督检查记录信息表,xfjd_cp_jdjcjlxx,正常,,正常,,异常,,,省市场监管局,企业基本信息,t307020250506000009,正常,已经到前置机，未对账,正常,,异常,
消防救援总队,消防产品认证检验信息表,xfjd_cp_cprzjyxx,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,证照分离许可事项,t307020250423000006,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,消防产品认证检验机构表,xfjd_cp_rzjyjg,正常,,正常,,正常,,,省市场监管局,市场监管_行政处罚变更信息_2019,t307020250512000011,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,消防产品质量检验结果通知书表,xfjd_cp_jyjgtzs,正常,,正常,,异常,,,省市场监管局,严重违法失信企业名单,t307020250423000008,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,消防安全检查申报表,xfjd_aqjc_aqjcsb,正常,,正常,,异常,,,省市场监管局,虚假登记责任人信息,t307020250423000009,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,消防行政处罚表,xfjd_gg_xfxzcf,正常,,正常,,正常,,,省市场监管局,行政处罚信用修复信息,t307020250423000010,正常,已经到前置机，未对账,正常,,异常,
消防救援总队,消防行政强制（信用公开）,xfjd_gg_xfxzqz,正常,,异常,前置仓数据量核对,未推送,,,省市场监管局,企业异常名录信息,t307020250423000017,正常,已经到前置机，未对账,正常,,异常,
消防救援总队,消防行政许可,xfjd_gg2_xfxzxk,正常,,异常,前置仓数据量核对,未推送,,,省体育局,健步走报名,enroll_team,正常,已经到前置机，未对账,异常,,未推送,
消防救援总队,消防违法行为举报、投诉查处情况记录表,xfjd_cp_wfxwjbtsccqkjl,正常,,异常,前置仓数据量核对,未推送,,,省体育局,体育产业单位库,sports_corpunit,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,火灾信息登记,xfjd_flwsh_hzdjxx,正常,,正常,,正常,,,省体育局,教练和代表团成员信息表,game_coach_info,正常,已经到前置机，未对账,异常,,未推送,
消防救援总队,烟花爆竹信息,zh_tc_yhbz,正常,已经到前置机，未对账,未推送,,未推送,,,省体育局,用户信息表,t_u_user,正常,已经到前置机，未对账,异常,,未推送,
消防救援总队,社会单位基本信息,xfjd_shdw_jbxx,正常,,正常,,正常,,,省体育局,引领员用户表,ct_leader_user,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,药剂厂家信息,zh_tc_yjcj,正常,已经到前置机，未对账,未推送,,未推送,,,省体育局,运动员信息表,sporter_enrol_info,正常,已经到前置机，未对账,异常,,未推送,
消防救援总队,行政区划,cf_sjzd_xzqh,正常,已经到前置机，未对账,未推送,,未推送,,,省体育局,比赛邀请记录,ct_sys_match_invite_record,正常,已经到前置机，未对账,正常,,异常,
消防救援总队,行政处罚决定书表,xfjd_flwsx_xzcfjds,正常,,正常,,正常,,,省体育局,用户信息表,user_info,正常,已经到前置机，未对账,未推送,,未推送,
消防救援总队,行政处罚强制执行决定书表,xfjd_flwsq_xzcfqzzxjds,正常,,正常,,正常,,,省体育局,体育公园基本情况表,sc_export_v_sports_park_info_0425_all,正常,已经到前置机，未对账,正常,,异常,
消防救援总队,行政处罚强制执行决定书表,xfjd_flwsq_xzcfqzzxjds,正常,已经到前置机，未对账,正常,,正常,,,省体育局,社体指导员信息表,t_instructor_2、t_instructor_1,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,行政处罚立案审批表(行政处罚一般程序),xfjd_flwsx_laspb,正常,,正常,,正常,,,省体育局,社体指导员信息表,t_instructor_2、t_instructor_1,正常,已经到前置机，未对账,异常,,未推送,
消防救援总队,行政处罚立案登记表(行政处罚快速办理),xfjd_flwsx_ladjb,正常,,正常,,正常,,,省体育局,用户证书表,t_u_user_certificate,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,行政强制临时查封决定书表,xfjd_flwsxq_lscfjds,正常,,正常,,正常,,,省体育局,比赛裁判信息表,game_judge_info,正常,已经到前置机，未对账,正常,,异常,
消防救援总队,设施操作员表,xfjd_xfjf_ssczy,正常,已经到前置机，未对账,未推送,,未推送,,,省体育局,场馆填报基本信息情况,sc_export_n_venue_info_0425_all,正常,已经到前置机，未对账,正常,,正常,
消防救援总队,责令改正通知书表,xfjd_cp_zlgztzs,正常,,异常,前置仓数据量核对,未推送,,,省体育局,证书领取人,ct_certificate_user,正常,已经到前置机，未对账,正常,,异常,
消防救援总队,责令立即改正通知书,xfjd_flwsj_zlljgz,正常,,正常,,正常,,,省通信管理局,ICP主体信息,ba_icp_main_pass,正常,已经到前置机，未对账,未推送,,未推送,
消防救援总队,责令限期改正通知书,xfjd_aqjc_zlxqgztzs,正常,,正常,,正常,,,省通信管理局,(ICP)单位性质,ba_icp_dictionary_unit_nature,正常,已经到前置机，未对账,异常,,未推送,
消防救援总队,隐患信息表,xfjd_jdjc_yhxx,正常,,正常,,正常,,,省通信管理局,ICP域名信息,ba_icp_domain_pass,正常,已经到前置机，未对账,异常,,未推送,
生态环境厅,一般工业固体废物贮存场所或设施,t_dm_t_company_solid_waste_storage_site,异常,对账表数据与表数据不一致,未推送,,未推送,,,省统计局,规上单位表,tjj_gsdwb,正常,已经到前置机，未对账,异常,,未推送,
生态环境厅,一般行政处罚执行过程,t_dm_t_punish_generalprocess,正常,已经到前置机，未对账,未推送,,未推送,,,省统计局,法人单位表,tjj_frdwb,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,一般行政处罚立案登记,t_dm_t_punish_generalregister,正常,已经到前置机，未对账,未推送,,未推送,,,省统计局,法人单位地理信息表,frdwdlxxb,未推送,,异常,,未推送,
生态环境厅,事件信息,t_dm_fo_event,正常,已经到前置机，未对账,未推送,,未推送,,,省委编办,事业单位登记信息,sbb_sbjsydwdjxx,正常,已经到前置机，未对账,正常,,异常,
生态环境厅,企业主要排污口信息,t_dm_t_company_sewage_outlet,异常,对账表数据与表数据不一致,未推送,,未推送,,,省委编办,机关单位基本信息,sbb_jgtyxydmfmxx,正常,已经到前置机，未对账,未推送,,未推送,
生态环境厅,企业信息表,t_dm_enterprise_extended,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,母婴保健技术服务和放射诊疗执业许可项目,mybjjsfwhfszlzyxkxm,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,企业危险废物信息,t_dm_t_company_danger_waste,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,健康卡个人基本信息表,jkkgrjbxxb,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,企业危险废物处置场所或设施,t_dm_t_company_danger_waste_handle_site,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,家庭医生签约表,jtysqyb,正常,已经到前置机，未对账,未推送,,未推送,
生态环境厅,企业司法判决情况,t_dm_t_company_env_justice_judgment,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,挂号明细表,ghmxb,正常,已经到前置机，未对账,未推送,,未推送,
生态环境厅,企业固体废物信息,t_dm_t_company_solid_waste,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,收养子女表,syznb,未推送,,正常,,正常,
生态环境厅,企业基本信息,t_dm_enterprise_,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,专科医师规范化培训合格信息,zkyshgxx,未推送,,正常,,正常,
生态环境厅,企业基本信息表,t_dm_hb_sjcj_qy_jbxx,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,四川省经批准开展人类辅助生殖技术和设置人类精子库的医疗机构,scskzrlfzszhrljzkjg,未推送,,正常,,正常,
生态环境厅,企业基本信息表,t_dm_t_company,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,四川互联网医疗服务机构备案信息,schlwylfwjgbaxx,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,企业扬尘污染情况,t_dm_t_company_dust_waste,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,健康档案表,jkdab,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,企业污染防治设施信息,t_dm_t_company_pollute_protect_facilities,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,接种信息表,jzxxb,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,企业污染防治设施非正常运行污染物排放信息,t_dm_t_company_pollute_protect_facil,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,四川省职业卫生技术服务机构,scszywsjsfwjg,未推送,,未推送,,未推送,
生态环境厅,企业环保信用评价,t_dm_t_company_env_credit_rating,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,全员人口人员信息表,qyrkryxxb,正常,已经到前置机，未对账,正常,,异常,
生态环境厅,企业环境披露信息（上报信息）,t_dm_t_company_env_disclosure,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,出生医学证明,csyxzm,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,企业环境第三方监测机构情况,t_dm_t_company_env_third_test_organ,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,行政强制行为信息,xzqzxwxx,正常,已经到前置机，未对账,异常,,未推送,
生态环境厅,企业生态环境应急情况,t_dm_t_company_env_emergency,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,无偿献血证,wcxxz,正常,已经到前置机，未对账,未推送,,未推送,
生态环境厅,企业生态环境行政处罚信息,t_dm_t_company_env_exec_punish,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,全员人口家庭表,qyrkjtb,正常,已经到前置机，未对账,正常,,异常,
生态环境厅,企业生态环境行政许可新获得、变更、撤销等情况,t_dm_t_company_env_license_change,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,健康卡基本信息表,jkkjbxxb,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,企业碳排放信息,t_dm_t_company_co_outlet,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,奖扶特扶基本信息表,jftfjbxxb,未推送,,未推送,,未推送,
生态环境厅,处罚类型,t_dm_t_library2_penaltiesinvolvedtype,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,生育登记女方信息表,sydjnfxxb,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,处置场所或设施,t_dm_t_company_solid_waste_handler_site,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,医师多执业备案,ysdzyba,正常,已经到前置机，未对账,正常,,异常,
生态环境厅,已披露环境信息变更情况,t_dm_t_company_env_disclosure_changed,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,全员人口生育信息表,qyrksyxxb,正常,已经到前置机，未对账,异常,,未推送,
生态环境厅,应急减排清单_工业源,t_dm_t_emission_final_industry_result,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,住院医师规范化培训合格信息,zyysgfhpx,未推送,,正常,,正常,
生态环境厅,排污口总体信息,t_dm_t_company_sewage_outlet_total,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,其他行为信息,qtxwxx,正常,已经到前置机，未对账,正常,,异常,
生态环境厅,案件处理内部审批表,t_dm_t_punish_inner_approve,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,行政处罚行为信息,xzcfxwxx,正常,已经到前置机，未对账,未推送,,未推送,
生态环境厅,案件违法行为定性及处理建议（新增）,t_dm_t_punish_general_breaklaw,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,四川省爱婴医院,scsayyy,未推送,,未推送,,未推送,
生态环境厅,案件违法行为（新增）,t_dm_t_punish_general_breaklaw_rec,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,四川省职业健康诊断机构,scszyjkzdjg,未推送,,未推送,,未推送,
生态环境厅,污染源基本信息,t_dm_psinfo_ps_base,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,卫生专业技术资格考试违纪信息,wszyjszgkswjxx,未推送,,未推送,,未推送,
生态环境厅,污染物排放信息,t_dm_t_company_pollute_outlet,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,护士执业数据,hszysj,正常,已经到前置机，未对账,未推送,,未推送,
生态环境厅,环境应急专家,t_dm_emergency_power_expert,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,药师规范化培训合格信息,ysgfhpx,未推送,,正常,,正常,
生态环境厅,环境应急监测人员,t_dm_emergency_power_monitor,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,患者信息表,hzxxb,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,现场检查-检查点位信息,t_dm_alarm_point_info,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,吊销医师执业证书处罚文件信息,dxyscf,未推送,,正常,,正常,
生态环境厅,现场检查主表,t_dm_t_enforce_patrol_info,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,护士规范化培训合格信息,hsgfhpx,未推送,,异常,,未推送,
生态环境厅,现场检查问题清单,t_dm_t_enforce_patrolquestlist,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,食品企标备案企业信息,spaqqyxx,正常,已经到前置机，未对账,未推送,,未推送,
生态环境厅,登记表主表,t_dm_t_bas_registration_form,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,行政检查行为信息,xzjcxwxx,正常,已经到前置机，未对账,正常,,异常,
生态环境厅,管理计划_1_企业基本信息V1,t_dm_management_plan_v2022_baseinfo,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,行政处罚基本信息,xzcfjbxx,正常,已经到前置机，未对账,未推送,,未推送,
生态环境厅,行政处罚_责令整改（新增）,t_dm_t_punish_rect,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,四川省职业健康检查机构,scszyjkjcjg,未推送,,正常,,正常,
生态环境厅,行政处罚承办人信息,t_dm_t_punish_bears,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,产妇分娩信息数据,cffm,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,行政处罚案件_调查,t_dm_t_punish_inquiry,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,健康体检表,jktjb,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,行政处罚案件办理主表,t_dm_t_punish_main,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,生育登记信息表,sydjxxb,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,行政处罚档案_实施按日连续处罚（下部分）,t_dm_t_datadock_punishcotdpdown,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,入院登记明细表,rydjmxb,正常,已经到前置机，未对账,未推送,,未推送,
生态环境厅,行政处罚档案_涉嫌环境污染犯罪案件,t_dm_t_datadock_punishccsoep,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,四川省采供血机构,scscgxjg,未推送,,正常,,正常,
生态环境厅,行政处罚档案_申请法院强制执行案件,t_dm_t_datadock_punishafaceac,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,亲生子女表,qsznb,未推送,,正常,,正常,
生态环境厅,行政处罚档案_行政处罚上半部分（立案）,t_dm_t_datadock_punishlianinfo,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,死因监测数据,syjcsj,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,行政处罚档案_行政处罚下半部分（结案信息）,t_dm_t_datadock_punishjieaninfo,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,医师执业数据,yszysj,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,行政处罚档案_行政处罚企业基本信息,t_dm_t_datadock_punishbaseinfo,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,执业三证诊所备案,zyszzsba,正常,已经到前置机，未对账,未推送,,未推送,
生态环境厅,行政处罚档案_适用行政拘留违法案件（上部分）,t_dm_t_datadock_punishacoiadup,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,建立健全现代医院管理制度国家级试点医院及省级试点医院,xdglzdsdyy,未推送,,未推送,,未推送,
生态环境厅,行政处罚档案_限制生产、停产整治案件（上部分）,t_dm_t_datadock_punishlpasrcup,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,出生医学机构数据表,csyxjg,正常,已经到前置机，未对账,正常,,异常,
生态环境厅,行政处罚档案_限制生产、停产整治案件（下部分）,t_dm_t_datadock_punishlpasrcdown,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,生育登记男方信息表,sydjnanfxxb,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,许可证表,t_dm_licence,异常,对账表数据与表数据不一致,未推送,,未推送,,,省卫生健康委,生育登记证件表,sydjzjb,正常,已经到前置机，未对账,正常,,异常,
生态环境厅,设备资产表,t_dm_device_page_info,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,医疗卫生机构信息,scsylwsjgxx,正常,已经到前置机，未对账,未推送,,未推送,
生态环境厅,违法种类,t_dm_t_library2_lawcategory,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,接种基本信息表,jzjbxxb,正常,已经到前置机，未对账,正常,,正常,
生态环境厅,违法行为_法律法规,t_dm_t_library4_regulation,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,门诊就诊明细表,mzjzmxb,正常,已经到前置机，未对账,未推送,,未推送,
生态环境厅,违法行为类别,t_dm_t_library2_breaklawdeed_national_type,正常,已经到前置机，未对账,未推送,,未推送,,,省卫生健康委,川卫健统1-1表,cwjt1_1b,未推送,,未推送,,未推送,
